industry_code,total_estabs,avg_emplvl
10,1702685,29604972
102,729030,11669138
1025,113670,3200548
1021,166309,2838976
101,113856,2117864
1024,186089,2116708
62,101231,1865510
1026,75934,1494934
44-45,85353,1392779
61,12439,1335038
611,12439,1335038
72,64949,1316358
722,57624,1187245
7225,51238,1089727
72251,51238,1089727
54,132053,1041608
541,132053,1041608
1013,30012,970548
31-33,30012,970548
6111,2578,929565
61111,2578,929565
611110,2578,929565
1023,91678,900706
56,49259,892079
1012,64606,870753
23,64606,870753
621,66029,862218
561,46245,841310
48-49,28925,696682
42,48750,651099
52,48659,644529
622,1326,516440
722513,22205,505369
722511,21191,497155
92,8778,493536
1028,8778,493536
238,39257,466705
423,26991,400688
1027,61832,374398
81,61832,374398
6221,904,363293
62211,904,363293
622110,904,363293
5613,9450,306539
455,7295,302884
522,17086,285474
445,10907,284740
5415,35439,281887
54151,35439,281887
624,29193,278877
6211,25512,277033
62111,25512,277033
1011,19238,276553
621111,24349,270874
524,18087,265308
6216,5749,262472
62161,5749,262472
621610,5749,262472
6113,823,261339
61131,823,261339
611310,823,261339
53,43019,256176
56132,6387,255336
561320,6387,255336
4451,7173,253910
44511,3342,236627
445110,3342,236627
2382,18136,235163
1022,15736,233808
51,15736,233808
922,2478,227288
9221,2478,227288
21,8967,218772
237,6652,213109
623,4683,207972
424,11818,205057
441,10615,202231
4552,6166,199821
45521,6166,199821
5416,31900,196737
236,18697,190938
5221,8316,189858
5413,13730,189139
55,4777,183020
551,4777,183020
5511,4777,183020
55111,4777,183020
5617,15262,181019
71,10985,178575
531,36570,177601
551114,3594,172761
493,2026,171018
4931,2026,171018
54161,26642,168650
6241,21826,161618
811,19573,156232
49311,1542,155865
493110,1542,155865
52211,6590,154053
522110,6590,154053
484,14702,152855
455211,605,148613
5242,15569,137169
332,5247,136376
213,5918,136372
2131,5918,136372
21311,5918,136372
541512,18078,135634
541511,16316,132203
812,18705,131324
54133,7827,130266
541330,7827,130266
721,7325,129004
5241,2518,128137
4411,4203,126896
921,2457,123181
9211,2457,123181
7211,6422,122438
459,13773,121450
72111,6190,120456
721110,6190,120456
2362,5435,118725
444,5615,116477
23822,9724,113998
713,6887,113731
5412,15673,112906
54121,15673,112906
488,6085,112442
213112,5221,112249
336,1298,110704
311,2958,110683
2371,3364,110341
92212,840,110062
922120,840,110062
52421,14042,108126
524210,14042,108126
458,9951,106661
44111,1652,106640
441110,1652,106640
62412,18532,105052
624120,18532,105052
23821,7381,104965
5611,10557,104956
56111,10557,104956
561110,10557,104956
4841,10447,103870
334,2039,103156
4551,1129,103063
45511,1129,103063
455110,1129,103063
8111,14394,102835
4238,7433,102728
6231,1745,100690
62311,1745,100690
623110,1745,100690
5411,17001,100602
5616,3275,100160
4441,4110,100137
7139,6207,99584
22,3281,98414
221,3281,98414
457,11050,97835
6213,13944,96219
333,2857,95448
4571,10707,94723
56172,5727,93104
561720,5727,93104
5614,4061,92622
2381,8592,92291
54111,15472,89872
541110,15472,89872
523,12851,89139
541611,14996,88740
325,2230,88596
4234,4831,88408
6212,12463,87369
62121,12463,87369
621210,12463,87369
6244,6112,87144
62441,6112,87144
624410,6112,87144
456,9260,85525
4561,9260,85525
48412,7847,83420
45711,9713,81830
457110,9713,81830
492,1606,80955
56161,1948,80453
517,2868,78935
4581,7237,78277
45811,7237,78277
458110,7237,78277
5311,13261,77468
722515,7389,76359
2389,6247,76124
238212,3412,75868
5313,11009,75075
449,6887,74960
2373,1597,74937
23731,1597,74937
237310,1597,74937
561612,1465,74930
481,609,74782
5419,7285,73775
5171,2579,73429
6214,4045,72433
23622,4744,72318
236220,4744,72318
2361,13262,72212
23611,13262,72212
4244,3234,72204
532,6096,72111
4921,998,70550
49211,998,70550
492110,998,70550
4811,190,69210
48111,190,69210
481111,135,68396
51711,2130,68374
813,6853,67536
5222,6291,67437
211,2502,67395
2111,2502,67395
52411,852,66558
53131,8452,66128
2383,6282,62940
7223,3389,62805
484121,7105,61325
6112,172,60791
61121,172,60791
611210,172,60791
62149,3057,60564
52412,1623,60492
4413,5270,60405
238222,2889,60043
56173,5796,59653
561730,5796,59653
44411,695,59287
444110,695,59287
513,5500,59040
517111,1440,58522
92114,1219,58121
921140,1219,58121
11,10271,57781
8121,10655,57148
42383,4036,56515
423830,4036,56515
2211,1366,55518
56142,1197,55456
923,916,53975
9231,916,53975
238221,6835,53955
3364,327,52714
33641,327,52714
45611,4960,51858
456110,4960,51858
6233,1406,51683
62331,1406,51683
561422,974,51629
4236,3018,51315
455219,5561,51208
3323,1693,51170
562,3014,50767
5239,9177,50309
531311,6399,49999
3344,628,49885
33441,628,49885
524126,711,49737
21112,1739,49451
211120,1739,49451
72231,1491,49304
722310,1491,49304
4842,4255,48985
52229,5780,48780
518,3293,47722
5182,3293,47722
51821,3293,47722
518210,3293,47722
92214,293,47316
922140,293,47316
541211,4559,47301
71394,3675,47250
713940,3675,47250
23712,754,46688
237120,754,46688
23621,691,46407
236210,691,46407
425,9941,45354
4251,9941,45354
42512,9941,45354
425120,9941,45354
524114,421,45088
491,1713,44911
4911,1713,44911
49111,1713,44911
491110,1713,44911
326,959,44548
3116,377,43938
31161,377,43938
327,1536,41856
53111,6642,41819
531110,6642,41819
62134,3205,41708
621340,3205,41708
4591,3027,41462
44133,3317,41009
441330,3317,41009
5417,2951,40991
3261,822,40848
81111,7531,40310
6116,4991,40259
52394,6999,40168
523940,6999,40168
5132,3674,40024
51321,3674,40024
513210,3674,40024
4492,3403,39743
44921,3403,39743
449210,3403,39743
42343,1065,39533
423430,1065,39533
54194,3009,39348
541940,3009,39348
6232,1238,39018
5231,3631,38515
23899,3494,38420
56131,2679,38027
8129,4544,37985
81211,7647,37817
236115,6912,37712
23891,2753,37703
336411,126,37507
339,2561,37406
3331,979,37340
3251,577,36957
22112,757,36629
4881,1012,36518
4599,5918,36441
6219,1562,35875
4885,3101,35657
48851,3101,35657
488510,3101,35657
811111,6709,35509
54171,2661,35425
4491,3484,35217
928,155,35186
9281,155,35186
8113,2553,34975
81131,2553,34975
811310,2553,34975
52315,3167,34905
523150,3167,34905
7224,2997,34713
72241,2997,34713
722410,2997,34713
334413,297,34678
81119,3474,34509
5418,4886,34331
561311,1996,34302
4231,1977,34143
2213,1569,34000
4237,2220,33224
23711,1360,32999
237110,1360,32999
5324,2521,32893
541613,6097,32099
485,957,31963
92811,108,31709
928110,108,31709
92113,668,31494
921130,668,31494
4233,2256,31431
33313,786,31393
23811,1983,31357
712,703,31161
7121,703,31161
711,3395,30782
23713,1250,30653
237130,1250,30653
541219,6514,30301
333132,742,30190
3329,838,30116
42345,2220,29766
423450,2220,29766
92119,414,29139
921190,414,29139
33231,952,29072
52429,1527,29043
238912,1567,29012
238211,3969,29001
62411,1189,28751
624110,1189,28751
92216,294,28568
922160,294,28568
4239,3030,28563
926,1491,28518
9261,1491,28518
5312,12300,28280
53121,12300,28280
531210,12300,28280
6215,2754,28213
62151,2754,28213
5223,2479,28178
52213,1567,28088
522130,1567,28088
81112,3389,28016
112,4772,27874
62419,2105,27711
624190,2105,27711
22131,1323,27377
221310,1323,27377
221122,674,27249
812112,5162,27000
321,888,26921
71391,593,26897
713910,593,26897
3273,934,26893
62321,844,26817
623210,844,26817
623312,871,25935
623311,535,25748
44418,1744,25543
444180,1744,25543
53112,3286,25321
531120,3286,25321
8139,3293,25112
238992,1337,25005
45911,1523,24777
459110,1523,24777
811121,2786,24534
337,1108,24379
8123,2283,24234
541715,1510,24122
312,1092,24087
42369,1236,24059
423690,1236,24059
3121,1058,23972
4248,555,23910
3363,431,23836
42361,1431,23827
423610,1431,23827
323,2135,23674
3231,2135,23674
213111,635,23674
335,826,23575
4242,1193,23569
42421,1193,23569
424210,1193,23569
32311,2078,23261
3345,841,23197
33451,841,23197
486,865,22710
3118,1182,22548
6223,253,22450
62231,253,22450
622310,253,22450
23831,1315,22343
4249,2264,22300
33232,741,22097
484122,742,22095
42441,489,22052
424410,489,22052
5321,1406,21975
4246,1693,21969
811192,1792,21810
3327,1603,21702
5619,1906,21611
541214,1029,21549
524113,431,21469
331,484,21398
53241,1464,21391
541618,2808,21325
324,306,21300
3241,306,21300
1121,3913,21273
238112,750,21256
4247,989,21178
6117,1341,21169
61171,1341,21169
611710,1341,21169
512,2202,21121
45999,4615,21049
532412,1396,21003
54169,4370,20983
541690,4370,20983
54138,1077,20926
541380,1077,20926
3399,1636,20902
8134,1330,20673
81341,1330,20673
813410,1330,20673
236118,5673,20650
2379,737,20556
23799,737,20556
237990,737,20556
92312,535,20495
923120,535,20495
48411,2600,20449
484110,2600,20449
4235,1336,20384
33299,548,20326
44112,2551,20255
441120,2551,20255
5121,1857,20185
71219,295,20029
712190,295,20029
42351,1286,19875
423510,1286,19875
48422,1941,19823
484220,1941,19823
48819,739,19812
488190,739,19812
56162,1327,19706
48423,1508,19645
484230,1508,19645
322,334,19643
522292,1783,19593
44134,1953,19396
441340,1953,19396
621498,987,19381
81219,3008,19331
814,16701,19304
8141,16701,19304
81411,16701,19304
814110,16701,19304
621511,2003,19274
62199,899,19017
5131,1826,19016
621493,1082,18990
42469,1365,18950
424690,1365,18950
22111,609,18889
6222,169,18885
62221,169,18885
622210,169,18885
54199,2064,18642
541990,2064,18642
4594,1986,18494
812199,2765,18492
5622,677,18422
56221,677,18422
44911,2028,18356
449110,2028,18356
524292,471,18339
42449,1132,18318
424490,1132,18318
33271,1479,18230
332710,1479,18230
23816,2646,18091
3339,705,18078
111,3527,18054
54131,2132,17962
541310,2132,17962
21113,763,17943
211130,763,17943
561621,993,17919
45612,1636,17766
456120,1636,17766
5621,949,17657
56211,949,17657
71399,1603,17651
713990,1603,17651
4452,1647,17643
32511,104,17582
325110,104,17582
5615,1320,17528
3341,176,17473
33411,176,17473
541614,1766,17346
3219,675,17344
238312,532,17311
44513,3831,17282
81291,2181,17185
812910,2181,17185
3334,255,17142
33341,255,17142
32411,141,17073
324110,141,17073
44912,1456,16860
62191,663,16858
621910,663,16858
5612,414,16783
56121,414,16783
561210,414,16783
48811,273,16706
3391,925,16504
33911,925,16504
31181,909,16383
4595,1493,16379
45951,1493,16379
459510,1493,16379
4442,1505,16339
311615,43,16292
332312,450,16283
3361,66,16259
23829,1031,16199
531312,2053,16128
323111,1384,16079
522291,2333,16071
3222,287,16006
61162,1809,15983
611620,1809,15983
42472,700,15948
424720,700,15948
3371,736,15921
924,962,15879
9241,962,15879
516,1288,15864
4883,328,15846
33611,53,15845
336110,53,15845
4582,1194,15767
45821,1194,15767
458210,1194,15767
6239,294,15677
62399,294,15677
623990,294,15677
54181,2902,15586
541810,2902,15586
6243,458,15576
62431,458,15576
624310,458,15576
23832,1539,15505
61169,1925,15485
52222,464,15449
522220,464,15449
62132,2003,15383
621320,2003,15383
445131,3544,15346
92211,445,15313
922110,445,15313
99,9004,15296
999,9004,15296
9999,9004,15296
99999,9004,15296
999999,9004,15296
1029,9004,15296
334111,88,15071
212,547,15005
4412,1142,14930
238292,765,14914
311611,110,14882
3254,443,14819
32541,443,14819
42481,174,14749
424810,174,14749
3119,592,14695
5629,1388,14687
42311,563,14654
423110,563,14654
62139,2953,14633
42384,1386,14611
423840,1386,14611
6242,797,14536
51213,355,14484
32732,664,14442
327320,664,14442
4862,553,14394
48621,553,14394
486210,553,14394
512131,343,14383
333415,146,14217
44424,1265,14113
444240,1265,14113
11211,3673,14065
621492,898,13873
541213,3571,13753
42312,1053,13725
423120,1053,13725
6115,1143,13702
61151,1143,13702
2123,495,13634
56199,1161,13591
561990,1161,13591
56171,1531,13466
561710,1531,13466
4851,94,13460
48511,94,13460
238991,2157,13415
562111,702,13299
3252,216,13247
4453,2087,13187
44532,2087,13187
445320,2087,13187
56133,384,13176
561330,384,13176
32619,395,13159
522299,1664,13115
32521,196,13002
42381,473,12984
423810,473,12984
81293,405,12981
812930,405,12981
45991,812,12965
459910,812,12965
31211,296,12906
45712,994,12893
457120,994,12893
56149,972,12678
92313,188,12644
923130,188,12644
459999,2600,12624
4583,1520,12616
42373,756,12583
423730,756,12583
8112,1229,12575
81121,1229,12575
811210,1229,12575
62133,3050,12572
621330,3050,12572
42331,776,12445
423310,776,12445
325412,277,12442
44414,1135,12328
444140,1135,12328
621399,2610,12323
62322,394,12199
623220,394,12199
3324,301,12156
7131,405,12137
5322,1754,12136
92314,163,12065
923140,163,12065
23814,910,12058
562212,336,12027
326199,361,12013
56144,425,12007
561440,425,12007
45942,1479,11985
459420,1479,11985
8122,1223,11956
311612,198,11941
4884,1174,11928
62131,2733,11922
621310,2733,11922
332322,382,11762
325211,172,11737
45831,1459,11690
458310,1459,11690
238322,487,11640
621991,252,11615
81232,1367,11512
812320,1367,11512
3353,273,11454
33531,273,11454
45912,977,11445
459120,977,11445
92215,193,11312
922150,193,11312
3342,228,11292
52239,884,11204
522390,884,11204
52232,600,11196
522320,600,11196
53211,701,11165
112111,3522,11113
519,585,11104
5192,585,11104
33711,432,11066
337110,432,11066
56179,1785,11054
561790,1785,11054
53228,1588,11019
5414,3188,10992
238162,689,10888
722514,453,10842
42332,728,10819
423320,728,10819
53212,705,10810
532120,705,10810
48832,101,10754
488320,101,10754
54119,1529,10730
449129,664,10722
3328,476,10716
33281,476,10716
32611,111,10699
3362,237,10693
33621,237,10693
92213,285,10672
922130,285,10672
42393,762,10662
423930,762,10662
53249,968,10591
532490,968,10591
561499,635,10576
45619,1803,10535
4232,890,10490
611691,1107,10484
8133,1077,10451
81331,1077,10451
4922,608,10405
49221,608,10405
492210,608,10405
23812,503,10369
42372,745,10113
423720,745,10113
238111,1233,10101
541714,920,10057
44524,701,10041
445240,701,10041
21232,316,10023
72232,835,10009
722320,835,10009
811191,1169,9981
3332,310,9936
33324,310,9936
44122,886,9885
517112,690,9851
33291,290,9789
81233,190,9764
81221,991,9737
812210,991,9737
7112,440,9732
71121,440,9732
42448,548,9673
424480,548,9673
48421,806,9515
484210,806,9515
115,1484,9410
551112,1083,9344
3114,207,9339
312111,143,9262
532111,629,9189
54137,853,9184
541370,853,9184
42482,381,9161
424820,381,9161
32221,156,9128
92612,85,9107
926120,85,9107
541612,975,9083
54189,376,9053
541890,376,9053
332996,159,9048
23835,1390,9037
56159,339,8974
621512,751,8939
2212,346,8896
22121,346,8896
221210,346,8896
488119,248,8890
42382,636,8883
423820,636,8883
524127,817,8812
32519,182,8811
3359,340,8797
541519,607,8780
92311,30,8768
923110,30,8768
4241,599,8755
92412,835,8712
924120,835,8712
238911,1186,8691
42399,1067,8609
423990,1067,8609
3259,342,8484
459991,2015,8425
42371,588,8385
423710,588,8385
23815,712,8367
621491,90,8319
92615,356,8282
926150,356,8282
5161,371,8242
236117,342,8225
561599,295,8179
71311,141,8134
713110,141,8134
311812,286,8132
51921,356,8116
519210,356,8116
238122,334,8112
7113,669,8056
62422,343,8035
81391,1380,8016
813910,1380,8016
1114,437,7999
711211,199,7944
238142,317,7935
4882,253,7921
48821,253,7921
488210,253,7921
7111,565,7790
326111,45,7771
32199,243,7751
52218,159,7716
522180,159,7716
62142,702,7681
621420,702,7681
23839,688,7678
33399,376,7662
81299,1928,7661
812990,1928,7661
61161,1117,7654
611610,1117,7654
5162,917,7622
51621,917,7622
516210,917,7622
56291,580,7620
562910,580,7620
333248,208,7610
56151,836,7609
561510,836,7609
332313,259,7574
311811,604,7565
4243,896,7438
32599,303,7437
53113,2586,7419
531130,2586,7419
621999,647,7402
49319,242,7401
493190,242,7401
48841,918,7387
488410,918,7387
33999,539,7374
33995,702,7359
339950,702,7359
441227,646,7333
11212,240,7207
112120,240,7207
238161,1957,7202
3115,132,7198
6114,1391,7166
92411,127,7166
924110,127,7166
54162,888,7092
541620,888,7092
325199,150,7050
92614,857,7043
926140,857,7043
1151,930,7031
11511,930,7031
33639,131,6995
336390,131,6995
42344,514,6943
423440,514,6943
56143,992,6898
42342,515,6888
423420,515,6888
2372,954,6875
23721,954,6875
237210,954,6875
42445,258,6865
424450,258,6865
42499,862,6790
424990,862,6790
4861,236,6790
48611,236,6790
486110,236,6790
532289,1061,6749
336413,105,6727
541191,951,6718
23819,962,6692
611519,623,6668
32739,159,6660
327390,159,6660
11142,377,6659
323113,660,6633
221112,187,6624
238351,1151,6561
8132,770,6552
81321,770,6552
81392,450,6512
813920,450,6512
45941,507,6508
459410,507,6508
22132,237,6416
221320,237,6416
81399,804,6407
813990,804,6407
322211,108,6402
332321,147,6345
3279,342,6339
71395,187,6281
713950,187,6281
31151,84,6269
53139,1662,6231
531390,1662,6231
4854,128,6230
48541,128,6230
485410,128,6230
31141,79,6215
49312,143,6190
493120,143,6190
3256,309,6159
812332,110,6155
3255,202,6134
54193,319,6121
541930,319,6121
7212,825,6065
72121,825,6065
339112,287,5952
52391,1643,5930
523910,1643,5930
71211,297,5927
712110,297,5927
325998,244,5895
51319,451,5888
54141,1545,5872
541410,1545,5872
334418,95,5872
3336,130,5856
33361,130,5856
